comment video_id video_name playlist_name comment_id annotator_openaichat_v0_setup annotator_openaichat_v8_confusion annotator_openaichat_v74_pedagogy
"Jerison rocks!" HgEqXhsIq_g "Lec 29 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 7134.0 0.0 0.0 0.0
"46:27 Top 10 saddest anime betrayals" 9FLItlbBUPY "Lec 2: Determinants; cross product | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 1270.0 0.0 0.0 0.0
"moises cañas, mira como en el mit si responden las preguntas. Y teniendo muchas mas razones para ser creidos que en tu universidad." ryLdyDrBfvI "Lec 2 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 13959.0 0.0 0.0 0.0
"i'm still a little confused, what is u naught supposed to represent? Are those just the linear combination of the eigenvectors?" 13r9QY6cmjc "22. Diagonalization and Powers of A" "MIT 18.06 Linear Algebra, Spring 2005" 13518.0 0.0 1.0 0.0
"Thank you Sir, It is a great help to teach these things." QVKj3LADCnA "2. Elimination with Matrices." "MIT 18.06 Linear Algebra, Spring 2005" 9235.0 0.0 0.0 0.0
"hes using the same trousers since lecture 1" PnPIqh7Frlw "Lec 24: Simply connected regions; review | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 13146.0 0.0 0.0 0.0
"Pen di siri calculus de andar poori dunya basi hui ae" BSAA0akmPEU "Lec 9 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 8160.0 0.0 0.0 0.0
"So, can someone explain (or point in the right direction) how is the penalty actually helps our inverse problem? I understand what it will bump up very little sigmas of the og matrix, but why is that useful to us?" Z_5uLqcwDgM "Lecture 10: Survey of Difficulties with Ax = b" "MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018" 8807.0 0.0 1.0 0.0
"i used the varibles f(x) and g(x) instead of u and v" 4sTKcvYMNxk "Lec 4 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 13488.0 0.0 0.0 0.0
"How can I find the proof of Eckart-Young theorem mentioned in the video? Where is the link?" Y4f7K9XF04k "7. Eckart-Young: The Closest Rank k Matrix to A" "MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018" 4808.0 0.0 1.0 0.0
"Many thanks Great!!!" k3AiUhwHQ28 "25. Stochastic Gradient Descent" "MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018" 7594.0 0.0 0.0 0.0
"Actually I noticed the AREA VOLUME CONFUSION at the very first time and also understood the power of 1 :) So I deserve a Thank you from an MIT professor ...Hurrah!" hjZhPczMkL4 "Lec 18 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 2232.0 0.0 0.0 0.0
"What a great lecturer! Everything is explaind so detailed, preciselly and clear. Now i understand why education in UK is US$12k and in US is US$60k. It is 5 times better then I achived in a 12 weak course in my Uni
Thank you!" QVKj3LADCnA "2. Elimination with Matrices." "MIT 18.06 Linear Algebra, Spring 2005" 11411.0 0.0 0.0 0.0
"Ok now we understand x axis when plotting against y axis is actually looking at an object from the top..
If we add the z axis we can understand that object little bit more" dK3NEf13nPc "Lec 8: Level curves; partial derivatives; tangent plane | MIT 18.02 Multivariable Calculus, Fall 07" "MIT 18.02 Multivariable Calculus, Fall 2007" 8047.0 0.0 0.0 0.0
"I wish I had the privilege to attend to one of his classes in person. You, professor, are a very enlightened person. All I can say is thank you for your devotion to quality education." Cx5Z-OslNWE "Course Introduction of 18.065 by Professor Strang" "MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018" 6202.0 0.0 0.0 0.0
"@hypnoticpoisons Use Euler’s formula with x =6t:

e^ix = cos x + i sin x

|e^ix| = |cos x + i sin x|
         = sqrt((cos x + i sin x)(cos x – i sin x))
         = sqrt(cos^2 x + sin^2 x)
         = sqrt(1)
         = 1" IZqwi0wJovM "23. Differential Equations and exp(At)" "MIT 18.06 Linear Algebra, Spring 2005" 1879.0 0.0 0.0 0.0
"@bjrcboy whats funny is the boards they have are real slate and cost way more then white boards
and im with you white on back is easier on the eyes to read" 7K1sB05pE0A "Lec 1 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 1791.0 1.0 0.0 0.0
"06:58 Anybody knows that why the dimension of symmetric matrix and upper triangular matrix are 6?" 2IdtqGM6KWU "11. Matrix Spaces; Rank 1; Small World Graphs" "MIT 18.06 Linear Algebra, Spring 2005" 295.0 0.0 1.0 0.0
"13:23 Those who want to audition." wOHrNt9ScYs "Lec 38 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 415.0 0.0 0.0 0.0
"Really nice explanation" 19Ql_Q3l0GA "3. Independence" "6.041 Probabilistic Systems Analysis and Applied Probability" 8527.0 0.0 0.0 0.0
"50.00 wrong solution?  " sRIDVAcoG5A "Lec 13 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 1334.0 0.0 1.0 0.0
